No.,Tissue,Elevated_Gene_symbol,GO_BP,GO_MF,GO_CC,REACTOME,KEGG,BIOCARTA
73,Adipose,ANGPTL5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,Adipose,APOLD1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,Adipose,AQP7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
76,Adipose,ARHGEF15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
77,Adipose,AVPR2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
78,Adipose,BOK,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,Adipose,BTNL9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
80,Adipose,C11orf91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,Adipose,C14orf180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,Adipose,C19orf12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,Adipose,C2orf66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,Adipose,CCDC178,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,Adipose,CCRL2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
86,Adipose,CD300LG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
87,Adipose,CD36,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
88,Adipose,CHIT1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
89,Adipose,CLDN5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
90,Adipose,CNTFR,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
91,Adipose,COL5A3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
92,Adipose,COMP,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
93,Adipose,CPM,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
94,Adipose,CTSK,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
95,Adipose,DEPP1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,Adipose,DGAT2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
97,Adipose,DHRS9,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
98,Adipose,DPT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,Adipose,DTX1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
100,Adipose,EBF2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Adipose,EXOC1L,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,Adipose,F2RL3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
103,Adipose,FADS3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,Adipose,FAM124B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,Adipose,FAM180B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,Adipose,FAM213A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,Adipose,FAM89A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Adipose,FASN,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
109,Adipose,FFAR3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
110,Adipose,FGF16,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
111,Adipose,FMO2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
112,Adipose,FPR3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
113,Adipose,FZD4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
114,Adipose,GALNT15,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
115,Adipose,GFPT2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
116,Adipose,GFRAL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,Adipose,GPAM,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
118,Adipose,GPD1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
119,Adipose,GPIHBP1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
120,Adipose,GPNMB,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
121,Adipose,GPR42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,Adipose,GRIFIN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,Adipose,GRK3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
124,Adipose,HAS1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
125,Adipose,HAS2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
126,Adipose,HOXC12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,Adipose,HOXC9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,Adipose,HRCT1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129,Adipose,IL6,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
130,Adipose,INHBB,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
131,Adipose,IRX6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
132,Adipose,ITGAX,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
133,Adipose,KIF25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
134,Adipose,KLF14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135,Adipose,KRTAP13-4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
136,Adipose,LBHD2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
137,Adipose,LIPA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
138,Adipose,LPL,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
139,Adipose,Mar-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
140,Adipose,MCTP1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141,Adipose,MEDAG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142,Adipose,MEOX2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
143,Adipose,MESP1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144,Adipose,MMD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
145,Adipose,MMP19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
146,Adipose,MS4A4A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147,Adipose,MT1A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
148,Adipose,MT1M,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
149,Adipose,MYEOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150,Adipose,NEDD9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
151,Adipose,NOTCH4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
152,Adipose,NR1H3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
153,Adipose,NRN1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
154,Adipose,OCSTAMP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155,Adipose,OR52N1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
156,Adipose,OR52N5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
157,Adipose,OR8G5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
158,Adipose,PALM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
159,Adipose,PALM2-AKAP2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160,Adipose,PALMD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161,Adipose,PC,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
162,Adipose,PDE3B,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
163,Adipose,PECAM1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
164,Adipose,PFKFB1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
165,Adipose,PFKFB3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
166,Adipose,PLA2G16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
167,Adipose,PLA2G7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
168,Adipose,PLIN2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
169,Adipose,PLVAP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
170,Adipose,PLXNA4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
171,Adipose,PNLIPRP3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
172,Adipose,PPARG,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
173,Adipose,PPP1R1A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
174,Adipose,PQLC2L,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
175,Adipose,PRG4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176,Adipose,PROKR1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
177,Adipose,PRR25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178,Adipose,PTX3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
179,Adipose,PVALEF,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
180,Adipose,RAB7B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
181,Adipose,RBP7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,Adipose,RDH5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
183,Adipose,RSAD2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
184,Adipose,SAA2-SAA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
